BJ;EBDL;OB;PERSNR;WTT;WMM;GESCHL;GEBTT;GEBMM;GEBJJJJ;GEBLAND;WGEM;PAR;BSTAAT;FAMST;KONVFL;KONVFL_A;PAR_A;ALTER;ALT31;BERQ
2005;1;;;;4;1;;;1972;5;1;101;15;2; ; ;101;32;33;2
2005;9;;;;3;1;;;1989;9;0;124;706;1; ; ;124;16;16;1
2005;6;;;;1;1;;;1991;5;6;711;13;1; ; ;101;13;14;1
2005;8;;;;6;1;;;1997;1;8;711;8;1; ; ;101;8;8;2
2005;9;;;;4;1;;;1968;9;9;101;997;4; ; ;101;37;37;2
2005;8;;;;4;1;;;1961;8;8;101;8;2; ; ;101;43;44;2
2005;7;;;;10;1;;;1962;9;7;101;304;2; ; ;101;43;43;4
2005;9;;;;2;1;;;1989;1;0;124;653;1; ; ;124;15;16;1
2005;2;;;;11;1;;;1968;5;2;111;13;2; ; ;111;37;37;4
2005;3;;;;1;1;;;1989;8;3;711;8;1; ; ;101;15;16;1
2005;3;;;;4;1;;;1992;1;3;711;8;1; ; ;101;12;13;2
2005;2;;;;2;1;;;1975;5;2;101;15;1; ; ;101;29;30;1
2005;9;;;;6;1;;;1993;9;0;124;230;1; ; ;124;11;12;4
2005;7;;;;1;1;;;2001;1;7;711;15;1; ; ;120;3;4;1
2005;8;;;;4;1;;;1973;8;8;101;8;2; ; ;101;32;32;2
2005;6;;;;1;1;;;2004;1;6;711;13;1; ; ;417;0;1;1
2005;4;;;;1;1;;;1970;8;4;101;8;2; ; ;101;34;35;1
2005;8;;;;12;1;;;1974;1;8;101;15;4; ; ;101;30;31;4
2005;7;;;;2;1;;;1962;8;7;101;8;2; ; ;101;42;43;1
2005;9;;;;12;1;;;1991;9;0;124;304;1; ; ;124;14;14;4
2005;2;;;;1;1;;;1989;1;2;711;15;1; ; ;101;15;16;1
2005;3;;;;7;1;;;1967;8;3;101;8;2; ; ;101;38;38;3
2005;3;;;;7;1;;;2002;1;3;711;8;1; ; ;101;2;3;3
2005;2;;;;4;1;;;1959;5;2;101;15;2; ; ;101;45;46;2
2005;1;;;;2;1;;;1967;9;1;160;41;2; ; ;101;37;38;1
2005;9;;;;2;1;;;1990;9;0;124;304;1; ; ;124;14;15;1
2005;8;;;;4;1;;;1996;1;8;711;8;1; ; ;101;9;9;2
2005;9;;;;4;1;;;1966;8;9;101;8;2; ; ;101;39;39;2
2005;4;;;;1;1;;;1966;8;4;101;8;2; ; ;101;38;39;1
2005;5;;;;2;1;;;1986;8;5;101;8;1; ; ;101;18;19;1
2005;6;;;;1;1;;;1991;5;6;711;13;1; ; ;101;13;14;1
2005;8;;;;1;1;;;1993;1;8;711;8;1; ; ;120;11;12;1
2005;9;;;;1;1;;;1989;9;0;124;501;1; ; ;124;15;16;1
2005;2;;;;8;1;;;1958;8;2;101;8;2; ; ;101;47;47;3
2005;3;;;;6;1;;;1975;8;3;101;8;1; ; ;101;29;30;2
2005;9;;;;6;1;;;1994;8;0;711;8;1; ; ;101;10;11;2
2005;9;;;;3;1;;;2002;1;9;711;15;1; ; ;101;2;3;1
2005;7;;;;6;1;;;1987;9;7;101;13;1; ; ;101;17;18;2
2005;6;;;;1;1;;;1971;9;6;101;41;2; ; ;101;33;34;1
2005;4;;;;1;1;;;1993;1;4;711;13;1; ; ;120;11;12;1
2005;5;;;;1;1;;;2000;1;5;711;8;1; ; ;101;4;5;1
2005;9;;;;3;1;;;1991;1;9;711;15;1; ; ;101;13;14;1
2005;9;;;;1;1;;;1968;9;0;111;556;2; ; ;111;36;37;1
2005;3;;;;5;1;;;1999;1;3;711;15;1; ; ;101;6;6;2
2005;9;;;;2;1;;;1999;9;0;124;300;1; ; ;124;5;6;1
2005;9;;;;3;1;;;1992;1;9;711;13;1; ; ;101;12;13;1
2005;7;;;;11;1;;;1988;8;7;711;8;1; ; ;111;17;17;4
2005;5;;;;2;1;;;1979;1;5;101;8;1; ; ;101;25;26;1
2005;6;;;;1;1;;;1997;1;6;711;8;1; ; ;101;7;8;1
2005;4;;;;1;1;;;1961;9;4;101;205;2; ; ;101;43;44;1
2005;7;;;;6;1;;;1966;8;7;101;8;2; ; ;101;39;39;2
2005;9;;;;1;1;;;1968;9;9;101;653;1; ; ;101;36;37;1
2005;8;;;;4;1;;;1959;8;8;101;8;2; ; ;101;46;46;2
2005;9;;;;3;1;;;2003;9;0;124;44;1; ; ;124;1;2;1
2005;9;;;;1;1;;;1987;9;0;711;200;1; ; ;101;17;18;1
2005;1;;;;4;1;;;1968;9;1;111;350;2; ; ;111;36;37;2
2005;9;;;;4;1;;;1955;9;9;111;706;2; ; ;111;50;50;2
2005;7;;;;5;1;;;1983;9;7;101;41;1; ; ;101;22;22;2
2005;6;;;;1;1;;;1998;1;6;711;200;1; ; ;101;6;7;1
2005;4;;;;1;1;;;1960;8;4;101;8;2; ; ;101;44;45;1
2005;7;;;;10;1;;;1954;9;7;101;653;2; ; ;101;51;51;4
2005;9;;;;8;1;;;1959;9;9;160;312;2; ; ;101;45;46;3
2005;8;;;;1;1;;;1982;1;8;413;8;2; ; ;413;22;23;1
2005;2;;;;3;1;;;1965;5;2;101;15;2; ; ;101;39;40;1
2005;9;;;;8;1;;;1948;9;0;111;200;2; ; ;111;57;57;3
2005;2;;;;5;1;;;1959;8;2;101;8;2; ; ;101;45;46;2
2005;8;;;;5;1;;;2001;1;8;711;8;1; ; ;101;4;4;2
2005;9;;;;10;1;;;1979;2;9;101;312;1; ; ;101;25;26;4
2005;7;;;;1;1;;;1996;1;7;711;15;1; ; ;120;8;9;1
2005;4;;;;1;1;;;2000;1;4;711;13;1; ; ;101;4;5;1
2005;5;;;;2;1;;;1992;1;5;711;14;1; ; ;101;12;13;1
2005;8;;;;5;1;;;1962;8;8;101;8;2; ; ;101;42;43;2
2005;2;;;;5;1;;;1991;8;2;711;8;1; ; ;101;14;14;2
2005;9;;;;4;1;;;1987;9;0;124;200;1; ; ;124;18;18;2
2005;3;;;;2;1;;;1966;4;3;101;4;2; ; ;101;38;39;1
2005;9;;;;1;1;;;2000;9;0;711;653;1; ; ;101;4;5;1
2005;1;;;;4;1;;;1964;5;1;101;11;2; ; ;101;41;41;2
2005;8;;;;6;1;;;1972;8;8;101;8;2; ; ;101;33;33;2
2005;6;;;;1;1;;;1990;5;6;711;13;1; ; ;101;14;15;1
2005;4;;;;1;1;;;1955;5;4;120;13;2; ; ;120;49;50;1
2005;5;;;;3;1;;;1997;9;5;711;760;1;1;1;414;7;8;1
2005;8;;;;10;1;;;2003;1;8;711;15;1; ; ;101;2;2;4
2005;9;;;;5;1;;;1946;9;9;101;13;2; ; ;101;58;59;2
2005;1;;;;4;1;;;1985;5;1;413;15;1; ; ;413;19;20;2
2005;3;;;;2;1;;;1997;1;3;711;11;1; ; ;101;7;8;1
2005;3;;;;2;1;;;2002;1;3;712;15;1; ; ;417;2;3;1
2005;2;;;;2;1;;;2001;1;2;711;15;1; ; ;101;3;4;1
2005;9;;;;5;1;;;1970;1;9;416;15;1; ; ;416;34;35;2
2005;8;;;;1;1;;;1996;1;8;711;15;1; ; ;120;8;9;1
2005;5;;;;3;1;;;1966;5;5;101;13;2; ; ;101;38;39;1
2005;6;;;;1;1;;;1995;1;6;711;13;1; ; ;101;9;10;1
2005;4;;;;1;1;;;1969;8;4;120;8;2; ; ;120;35;36;1
2005;4;;;;1;1;;;2000;1;4;711;8;1; ; ;120;4;5;1
2005;8;;;;1;1;;;1999;1;8;711;15;1; ; ;101;5;6;1
2005;9;;;;7;1;;;1990;5;9;711;13;1; ; ;101;14;15;3
2005;7;;;;6;1;;;2002;1;7;711;8;1; ; ;101;2;3;2
2005;2;;;;3;1;;;1995;5;2;711;15;1; ; ;101;9;10;1
2005;3;;;;5;1;;;1979;5;3;160;13;2; ; ;101;25;26;2
2005;9;;;;3;1;;;1965;9;0;111;556;2; ; ;111;40;40;1
2005;7;;;;8;1;;;1969;8;7;101;8;2; ; ;101;36;36;3
2005;4;;;;1;1;;;1968;8;4;101;8;2; ; ;101;36;37;1
2005;6;;;;1;1;;;1970;5;6;101;13;2; ; ;101;34;35;1
2005;5;;;;1;1;;;1982;8;5;101;8;1; ; ;101;22;23;1
2005;5;;;;1;1;;;1971;8;5;160;8;2; ; ;101;33;34;1
2005;6;;;;1;1;;;1980;8;6;101;8;1; ; ;101;25;25;1
2005;9;;;;1;1;;;1988;9;9;711;15;1; ; ;101;16;17;1
2005;8;;;;4;1;;;1984;1;8;101;15;1; ; ;101;21;21;2
2005;8;;;;2;1;;;1989;1;8;711;15;1; ; ;101;15;16;1
2005;5;;;;3;1;;;1995;1;5;711;8;1; ; ;101;9;10;1
